,0
382,0.07196662468087611
312,0.06909309286615872
212,0.06849218149311709
393,0.062322679741223186
153,0.05368829290547028
42,0.05117176171726201
387,0.0510215504739151
343,0.04901557781294208
147,0.048846392357318136
142,0.04806209156690122
342,0.04752369756852193
152,0.04645370611977784
227,0.04564867904789538
302,0.045281038585043065
22,0.044989860123086034
47,0.043788192754958266
62,0.0437684320623738
52,0.043321577088418994
267,0.04314625028510033
222,0.04303077725019755
383,0.04189058570846438
313,0.04171542582233834
187,0.040478725195567056
337,0.0397667423382847
232,0.03913584999823927
327,0.03893697342120128
365,0.03820434203839529
81,0.03810635838165488
101,0.038092559559673056
86,0.038058528198554264
172,0.03805288673503504
297,0.03802876489688922
57,0.03799634276692487
105,0.03797727664325967
80,0.0379406175469742
106,0.037883292965570026
111,0.037767550762224045
100,0.03770521514361225
130,0.03735641337278439
366,0.03731458939853194
131,0.037313200545350034
85,0.037185683355712706
117,0.03715764422603485
136,0.03709762044064324
110,0.037046043193612155
126,0.03699272478872229
96,0.036752015058753695
79,0.036731671528853926
121,0.03665821356125609
125,0.03650495924709485
37,0.036228052467656036
135,0.036218501171266126
179,0.03619977118686257
0,0.03580642028858516
120,0.03542842527112344
95,0.03507268716139167
74,0.0350414945855867
1,0.034799560775349514
262,0.03471742173476611
132,0.034664251732444584
116,0.034508553492091476
122,0.0341764686905871
89,0.034150232465481434
141,0.03357367026182101
91,0.03353540412248002
217,0.03309616988941222
140,0.032440263669005764
332,0.03243498379302734
92,0.03184676300457878
379,0.03168523353126229
137,0.031248995086220255
115,0.03105901782798315
4,0.030995617676043863
184,0.030858526803915987
5,0.030761081871441887
32,0.03075769808766271
192,0.03033523119664372
99,0.029961517633682155
143,0.02962452823117656
76,0.029436216173421736
186,0.029219120569515145
171,0.029113967241294003
336,0.028850604118704992
375,0.02841194183923046
145,0.028328403684242165
226,0.028298240403162755
307,0.028231808620305943
225,0.027973513717227227
369,0.027852116503029878
300,0.027772867215639985
335,0.02776617939827808
170,0.027620981317462934
317,0.027455020876030467
370,0.02734434978412892
197,0.02729508636998701
231,0.02723812847748419
90,0.027193198064762503
188,0.027073507771670724
330,0.027035591071486786
230,0.027034112618641637
6,0.026901824366326266
75,0.026821767279819886
207,0.02681857204913063
374,0.02676351243400643
238,0.026709275843142755
43,0.026622958571143163
127,0.02659531305792262
146,0.02654728659863148
331,0.026492882485601665
63,0.02648562298350865
364,0.02647802183471104
53,0.02637670540980086
27,0.026335777689484252
376,0.026196328421217108
84,0.025950606748179172
202,0.025949986724968732
301,0.025858406079989127
104,0.02576709556442014
17,0.025622519800309607
296,0.02540232350808358
31,0.025399213598462866
213,0.02508789104819209
9,0.024999814496261874
148,0.024705873947722612
191,0.024558235461026534
204,0.024556094980955345
199,0.024450345730017475
306,0.02430407733147799
12,0.024204765037953213
48,0.024154531204058638
292,0.024118688850624737
252,0.02397968783263893
23,0.023925969445445006
193,0.02391800548368661
303,0.023839665400551602
371,0.02373478750598812
322,0.023711828286158254
268,0.023698925932407522
185,0.023505944778910215
295,0.02339074474550018
114,0.02318577779330666
269,0.023141011187594485
24,0.022896063607694694
228,0.02288023482445567
33,0.022760080185392217
109,0.02271541025008672
38,0.022553896352151437
264,0.022454608042635993
360,0.022351627845585642
10,0.022234703200661676
338,0.02221334809025821
190,0.02209061482074437
123,0.02205028082595617
298,0.021716147422449095
263,0.02143988790898621
133,0.02119072951405787
46,0.021147098780025964
138,0.021126598463977797
206,0.021031743044828688
328,0.020715286349623163
11,0.020641383319975226
26,0.020591198935347887
233,0.02045025489707364
51,0.020269159611789322
67,0.020198725904348458
182,0.020024568170711743
69,0.019907007145510747
256,0.019807720019842545
208,0.01975183828197158
41,0.019683719524280052
325,0.01959901974574718
18,0.019491651181368863
209,0.019432872284229408
21,0.019429505163781946
50,0.019291531966261544
28,0.019155990283314606
198,0.019087311725086598
210,0.019052364330481852
45,0.019051796728714043
128,0.019022436924029162
392,0.018872488287849487
391,0.01886608304952697
266,0.01872660367130985
211,0.01849763230285706
326,0.018492149905378286
124,0.01834867295838072
308,0.01824306266578468
261,0.018121949351143973
201,0.018115722060414008
93,0.01808147767541257
196,0.018007939767679337
58,0.01788180202429457
220,0.01774737451573949
30,0.01774141096835391
16,0.017737004276120016
257,0.01771180243647752
44,0.017666194079507314
333,0.01764837821958698
40,0.017608362015865353
173,0.017442054602132995
203,0.0174151129956458
3,0.017322725555013574
36,0.017320524850891972
20,0.017233919295045586
205,0.01687653571220904
174,0.016815071518787583
