n_features,accuracy,precision,recall,f1_score
1,0.9930004640877945,0.9930384170179308,0.9999615130855509,0.9964879406511281
2,0.9952553847833802,0.9954888617587965,0.9997525841213988,0.997616167268797
3,0.992743850836723,0.9953850290562083,0.9973169122498351,0.996350034192682
4,0.992743850836723,0.9953795922846873,0.9973224103804706,0.9963500542411051
5,0.9927493106931288,0.9953796176386663,0.9973279085111062,0.9963528106427622
6,0.9620649176926647,0.9928161729076751,0.9688091049043325,0.9806657353866018
7,0.9620649176926647,0.9928161729076751,0.9688091049043325,0.9806657353866018
8,0.9620649176926647,0.9928161729076751,0.9688091049043325,0.9806657353866018
9,0.9620976768310994,0.992816415757685,0.968842093688146,0.980682754168429
10,0.9619284212825203,0.9928151608558693,0.9686716516384429,0.9805948176781127
11,0.9619284212825203,0.9928151608558693,0.9686716516384429,0.9805948176781127
12,0.9619284212825203,0.9928151608558693,0.9686716516384429,0.9805948176781127
13,0.9614315743495946,0.9928114745779912,0.9681713217506048,0.9803365938660417
14,0.9614315743495946,0.9928114745779912,0.9681713217506048,0.9803365938660417
15,0.9593295296333706,0.9927958368412428,0.966054541455905,0.9792426594140907
16,0.05167754088067484,0.9989035087719298,0.04507917308115241,0.08626530869912882
17,0.9691408915945511,0.9928737638161722,0.9759291840774137,0.9843285568519586
18,0.9705222352652125,0.9928783283341991,0.977325709258852,0.9850406332863226
19,0.9705386148344298,0.9928784476691578,0.9773422036507587,0.9850490698615183
20,0.9708170675111245,0.992880475751738,0.9776226083131735,0.9851924701840898
21,0.9708170675111245,0.992880475751738,0.9776226083131735,0.9851924701840898
22,0.9708170675111245,0.992880475751738,0.9776226083131735,0.9851924701840898
23,0.9710900603314133,0.9928824629469395,0.9778975148449527,0.9853330194036259
24,0.9710900603314133,0.9928824629469395,0.9778975148449527,0.9853330194036259
25,0.9512380224400099,0.9927406166487176,0.957900813723334,0.9750095837169152
26,0.0488711746881057,0.9996094766987763,0.04222014515064878,0.08101834755910994
27,0.0488711746881057,0.9996094766987763,0.04222014515064878,0.08101834755910994
28,0.9511397450247059,0.9927511041458897,0.9577908511106223,0.9749576751409663
29,0.9511342851683001,0.9927454466707698,0.9577908511106223,0.9749549468876975
30,0.9511342851683001,0.9927454466707698,0.9577908511106223,0.9749549468876975
31,0.04889847397013459,0.9993498894812118,0.04225863206509787,0.08108835212136878
32,0.9541099069094483,0.9927959048014044,0.9607598416538377,0.9765151959674873
33,0.04700390379733013,0.9987758433079434,0.04037277325709259,0.07760843831910036
34,0.04700390379733013,0.9987758433079434,0.04037277325709259,0.07760843831910036
